14995 19412
19857 17234
10893 6179
6453 18767
7836 8251
19858 19692
11556 5653
940 2441
12665 15041
11408 11118
9815 19373
10737 5681
13653 7748
19940 19573
1051 6492
6502 17436
14685 16464
13679 9152
1946 417
6942 18915
13114 13961
18050 9883
19000 17075
18960 8444
10832 6857
12922 19173
309 14937
19832 4740
19060 7879
7354 11727
19608 3327
10542 19801
12093 15617
5091 12207
19567 19677
6114 1441
9852 15466
1055 10491
2400 13324
19968 19049
3303 19917
8195 18346
14911 6105
4569 19987
19213 18802
17559 4076
4095 19999
13616 1834
436 10882
3580 19977
4048 19997
13944 16611
17022 2970
11715 9172
14249 19391
11924 3659
12024 16723
16673 12673
19149 18463
4008 19158
14212 19914
19480 13459
298 19949
16341 17593
17705 12861
19107 19990
12809 8147
9340 19987
19339 8289
5749 6465
3319 16994
19271 7053
18965 19601
8253 15287
19928 17029
19996 18884
19910 18061
14882 15763
13970 18381
13404 8237
2827 17412
10880 18068
5776 15101
19999 19940
4858 19275
8740 18602
16191 2443
14703 19916
1265 201
8306 17054
18329 12314
8824 19916
19583 2866
19890 17457
19149 19756
19349 16875
19415 7844
19828 11609
15036 13405
17451 12065
19994 18676
11493 14743
19996 6347
15470 14975
14461 19804
16976 19731
16982 13499
12491 9872
19655 19479
18108 8699
19835 8345
12723 14994
19894 18827
16334 3342
12376 7523
17342 13090
17749 19124
19461 10121
3252 4717
19329 4906
18525 8881
5956 5863
4579 3021
18804 1008
12374 8226
15324 18758
14876 9764
16221 13361
17143 17912
5908 915
19915 19489
19291 19950
7650 14273
19315 1975
17710 224
3333 4742
18126 4238
16447 7392
6831 19405
18597 4517
16854 2887
13953 9165
17167 6239
18132 18920
15153 19465
15959 18061
3874 14374
18016 8805
16364 7815
12603 16925
9291 18980
7564 2398
18712 17022
19146 8096
19979 19786
3873 4317
19265 2516
9913 18154
16118 18590
16143 6101
19592 12958
4890 17618
15043 3078
19954 19783
19996 19758
7800 323
5145 14738
19126 9726
7261 19998
16542 17369
19355 277
17730 6140
19656 11464
8491 3098
19220 19635
1775 4182
7475 19999
15590 13415
15903 12553
8791 19941
17484 12370
9760 19882
11985 18886
19985 17421
1168 19362
13403 2559
15980 13093
5231 11627
1040 10806
19457 5700
12809 3545
3035 19253
7262 718
16730 16508
19287 373
6294 12129
16735 16962
19954 11869
11368 15172
15403 14481
19295 15440
16678 17384
19828 6630
10363 7416
19857 18364
3487 6786
15050 13660
19481 9826
17769 11223
17074 6191
17513 19550
15265 18508
19720 18012
8798 17201
13463 19703
5099 19545
19966 4194
15226 14662
10646 18586
11875 15493
19484 19716
19912 2356
6081 14960
7054 18935
19960 4705
19274 11326
2222 19036
19139 2420
19941 11598
13233 15185
19751 15067
1319 1543
6130 7171
11922 15076
19721 17031
16495 13108
10017 12294
19591 16768
13046 19230
12981 9320
15735 19999
1374 8861
19265 15656
163 4117
9643 17973
17998 18824
2879 19964
18785 9213
4983 8647
19929 12594
17234 15638
6647 16477
18653 19006
19483 5275
15492 12895
2700 14147
19427 12299
19072 7262
19223 19640
17238 18133
10868 265
10607 18933
19567 14551
8513 17944
15332 2389
18644 19777
19998 17443
14427 19764
17325 18410
15178 12434
17172 18368
10438 19015
9838 5541
12902 604
18146 19969
19761 13249
17031 4150
19818 15948
9789 19910
6150 16775
5553 15984
10825 11106
16099 2813
7888 5981
18135 8279
16111 13899
13958 16992
8064 19148
18589 14976
16340 18167
18860 3408
9344 16416
6728 17735
19846 19864
16152 1740
14882 19998
15029 18493
19861 12004
2791 18355
10379 7500
13538 10501
13090 7465
